지번주소,UMAP1,UMAP2,OPTICS_cluster_all,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  258-39,-1.1792521,16.531828,1668,2247
서울특별시 광진구 광장동  258-4,2.9752784,18.961897,19,30
서울특별시 광진구 광장동  258-40,-1.1759299,16.527996,1668,2247
서울특별시 광진구 광장동  258-41,-1.1793664,16.53137,1668,2247
서울특별시 광진구 광장동  258-42,-1.1760391,16.527798,1668,2247
서울특별시 광진구 광장동  258-45,-1.2544256,16.602316,1673,2252
서울특별시 광진구 광장동  258-7,2.9780827,18.967041,19,30
서울특별시 광진구 광장동  258-8,3.0306537,19.047365,18,29
서울특별시 광진구 광장동  259-3,-1.209142,16.557884,1670,2249
서울특별시 광진구 광장동  259-6,3.03475,19.015215,18,29
서울특별시 광진구 광장동  259-7,3.0218587,19.002901,18,29
서울특별시 광진구 광장동  259-8,2.9974558,18.960981,19,30
서울특별시 광진구 광장동  259-9,3.005982,18.963121,19,30
서울특별시 광진구 광장동  262,2.974714,18.957745,19,30
서울특별시 광진구 광장동  264,3.0305147,19.03854,18,29
서울특별시 광진구 광장동  264-1,2.976403,18.963951,19,30
서울특별시 광진구 광장동  264-11,3.143011,19.288229,15,26
서울특별시 광진구 광장동  264-4,3.1671557,19.355392,15,26
서울특별시 광진구 광장동  264-5,3.159781,19.339293,15,26
서울특별시 광진구 광장동  266,2.975435,18.962526,19,30
서울특별시 광진구 광장동  270-1,3.1984777,19.418186,15,26
서울특별시 광진구 광장동  270-3,3.1749487,19.369751,15,26
서울특별시 광진구 광장동  271-1,3.1881347,19.393045,15,26
서울특별시 광진구 광장동  271-11,3.1837971,19.387306,15,26
서울특별시 광진구 광장동  271-14,3.1916904,19.405119,15,26
서울특별시 광진구 광장동  271-15,3.176636,19.373951,15,26
서울특별시 광진구 광장동  271-17,3.1951094,19.41145,15,26
서울특별시 광진구 광장동  271-7,3.1664674,19.351828,15,26
서울특별시 광진구 광장동  272-1,3.2658958,21.019428,-1,4
서울특별시 광진구 광장동  272-10,3.215028,21.07788,-1,4
서울특별시 광진구 광장동  272-11,3.2012973,20.90516,-1,3
서울특별시 광진구 광장동  272-14,3.2347898,20.911358,-1,3
서울특별시 광진구 광장동  272-15,3.2277744,20.826397,7,14
서울특별시 광진구 광장동  272-16,3.228923,20.831234,7,14
서울특별시 광진구 광장동  272-18,3.2234988,20.800402,6,13
서울특별시 광진구 광장동  272-19,3.2132356,20.801323,6,13
서울특별시 광진구 광장동  272-2,3.2716014,21.060024,-1,4
서울특별시 광진구 광장동  272-21,3.216429,20.83512,7,14
서울특별시 광진구 광장동  272-24,3.2238584,20.904375,-1,3
